Trial Nr,Diameter,Distance,ID,Movement Time
0,50.0,0.0,0.0,6704.0
1,20.0,300.0,4.0,1249.0
2,160.0,400.0,1.8073549270629883,969.0
3,40.0,500.0,3.754887580871582,1133.0
4,20.0,500.0,4.700439929962158,1280.0
5,80.0,400.0,2.5849626064300537,1119.0
6,80.0,500.0,2.857980966567993,1116.0
7,40.0,200.0,2.5849626064300537,1164.0
8,20.0,400.0,4.392317295074463,1138.0
9,40.0,300.0,3.087462902069092,980.0
10,160.0,500.0,2.044394016265869,1469.0
11,40.0,400.0,3.4594316482543945,1215.0
12,20.0,200.0,3.4594316482543945,1250.0
13,160.0,200.0,1.1699249744415283,851.0
14,80.0,300.0,2.24792742729187,965.0
