Trial Nr,Diameter,Distance,ID,Movement Time
0,50.0,0.0,0.0,12799.0
1,20.0,300.0,4.0,1362.0
2,20.0,200.0,3.4594316482543945,1388.0
3,160.0,200.0,1.1699249744415283,1035.0
4,20.0,400.0,4.392317295074463,1362.0
5,40.0,500.0,3.754887580871582,1272.0
6,40.0,400.0,3.4594316482543945,1287.0
7,40.0,500.0,3.754887580871582,1328.0
8,80.0,500.0,2.857980966567993,991.0
9,20.0,500.0,4.700439929962158,1477.0
10,160.0,300.0,1.523561954498291,978.0
11,20.0,200.0,3.4594316482543945,2219.0
12,40.0,500.0,3.754887580871582,1392.0
13,40.0,400.0,3.4594316482543945,1166.0
14,80.0,400.0,2.5849626064300537,1394.0
15,20.0,500.0,4.700439929962158,1316.0
16,40.0,200.0,2.5849626064300537,1105.0
17,80.0,400.0,2.5849626064300537,1355.0
18,160.0,400.0,1.8073549270629883,1057.0
19,160.0,400.0,1.8073549270629883,1069.0
20,160.0,300.0,1.523561954498291,1049.0
21,80.0,500.0,2.857980966567993,1197.0
22,40.0,500.0,3.754887580871582,1371.0
23,160.0,400.0,1.8073549270629883,1022.0
24,40.0,400.0,3.4594316482543945,1340.0
25,80.0,300.0,2.24792742729187,1040.0
26,80.0,300.0,2.24792742729187,1124.0
27,20.0,200.0,3.4594316482543945,1257.0
28,160.0,200.0,1.1699249744415283,1015.0
29,40.0,300.0,3.087462902069092,1148.0
30,160.0,200.0,1.1699249744415283,1073.0
31,80.0,200.0,1.8073549270629883,1229.0
32,20.0,500.0,4.700439929962158,1608.0
33,80.0,200.0,1.8073549270629883,1172.0
34,80.0,500.0,2.857980966567993,1263.0
35,80.0,200.0,1.8073549270629883,1041.0
36,160.0,500.0,2.044394016265869,1118.0
37,20.0,300.0,4.0,1360.0
38,20.0,300.0,4.0,1345.0
39,20.0,200.0,3.4594316482543945,1334.0
40,80.0,400.0,2.5849626064300537,1273.0
41,160.0,400.0,1.8073549270629883,1100.0
42,40.0,200.0,2.5849626064300537,1221.0
43,160.0,500.0,2.044394016265869,1359.0
44,20.0,400.0,4.392317295074463,1440.0
45,160.0,200.0,1.1699249744415283,1188.0
46,40.0,300.0,3.087462902069092,1228.0
47,40.0,300.0,3.087462902069092,1115.0
48,40.0,200.0,2.5849626064300537,1363.0
49,20.0,500.0,4.700439929962158,1482.0
50,40.0,400.0,3.4594316482543945,1346.0
51,20.0,300.0,4.0,1433.0
52,80.0,200.0,1.8073549270629883,1205.0
53,80.0,500.0,2.857980966567993,1303.0
54,160.0,300.0,1.523561954498291,1023.0
55,80.0,300.0,2.24792742729187,1063.0
56,40.0,200.0,2.5849626064300537,1251.0
57,160.0,500.0,2.044394016265869,1061.0
58,160.0,500.0,2.044394016265869,1088.0
59,160.0,300.0,1.523561954498291,1134.0
60,80.0,400.0,2.5849626064300537,1221.0
61,20.0,400.0,4.392317295074463,1458.0
62,40.0,300.0,3.087462902069092,1485.0
