Trial Nr,Diameter,Distance,ID,Movement Time
0,50.0,0.0,0.0,4782.0
1,20.0,200.0,3.4594316482543945,1300.0
2,20.0,300.0,4.0,1401.0
3,160.0,400.0,1.8073549270629883,931.0
4,80.0,200.0,1.8073549270629883,935.0
5,20.0,300.0,4.0,1516.0
6,160.0,500.0,2.044394016265869,918.0
7,20.0,200.0,3.4594316482543945,1430.0
8,40.0,400.0,3.4594316482543945,1252.0
9,20.0,300.0,4.0,1000.0
10,20.0,300.0,4.0,1181.0
11,80.0,200.0,1.8073549270629883,953.0
12,20.0,200.0,3.4594316482543945,1433.0
13,40.0,200.0,2.5849626064300537,1151.0
14,80.0,500.0,2.857980966567993,1066.0
15,160.0,200.0,1.1699249744415283,949.0
16,20.0,500.0,4.700439929962158,1333.0
17,160.0,400.0,1.8073549270629883,951.0
18,40.0,500.0,3.754887580871582,1118.0
19,40.0,500.0,3.754887580871582,1214.0
20,160.0,300.0,1.523561954498291,966.0
21,40.0,300.0,3.087462902069092,1367.0
22,40.0,300.0,3.087462902069092,1183.0
23,160.0,300.0,1.523561954498291,934.0
24,40.0,300.0,3.087462902069092,1034.0
25,40.0,500.0,3.754887580871582,1966.0
26,160.0,200.0,1.1699249744415283,884.0
27,20.0,400.0,4.392317295074463,1133.0
28,40.0,200.0,2.5849626064300537,966.0
29,160.0,300.0,1.523561954498291,918.0
30,40.0,300.0,3.087462902069092,988.0
31,80.0,300.0,2.24792742729187,952.0
32,40.0,500.0,3.754887580871582,1380.0
33,80.0,500.0,2.857980966567993,1237.0
34,40.0,200.0,2.5849626064300537,1247.0
35,80.0,500.0,2.857980966567993,1250.0
36,80.0,400.0,2.5849626064300537,1184.0
37,80.0,300.0,2.24792742729187,969.0
38,40.0,400.0,3.4594316482543945,1333.0
39,80.0,400.0,2.5849626064300537,963.0
40,80.0,200.0,1.8073549270629883,938.0
41,160.0,400.0,1.8073549270629883,967.0
42,40.0,200.0,2.5849626064300537,1112.0
43,20.0,200.0,3.4594316482543945,1200.0
44,80.0,400.0,2.5849626064300537,1168.0
45,80.0,500.0,2.857980966567993,1350.0
46,80.0,200.0,1.8073549270629883,1004.0
47,160.0,500.0,2.044394016265869,949.0
48,160.0,500.0,2.044394016265869,1164.0
49,20.0,400.0,4.392317295074463,1166.0
50,20.0,500.0,4.700439929962158,1583.0
51,80.0,400.0,2.5849626064300537,1069.0
52,20.0,500.0,4.700439929962158,1333.0
53,20.0,500.0,4.700439929962158,1716.0
54,160.0,500.0,2.044394016265869,953.0
55,160.0,200.0,1.1699249744415283,864.0
56,40.0,400.0,3.4594316482543945,1400.0
57,80.0,300.0,2.24792742729187,999.0
58,20.0,400.0,4.392317295074463,1251.0
59,160.0,200.0,1.1699249744415283,954.0
60,160.0,300.0,1.523561954498291,946.0
61,40.0,400.0,3.4594316482543945,1267.0
62,20.0,400.0,4.392317295074463,1267.0
