Trial Nr,Diameter,Distance,ID,Movement Time
0,50.0,0.0,0.0,6938.0
1,20.0,200.0,3.4594316482543945,1083.0
2,40.0,300.0,3.087462902069092,1183.0
3,80.0,300.0,2.24792742729187,1218.0
4,20.0,300.0,4.0,1132.0
5,80.0,200.0,1.8073549270629883,883.0
6,160.0,300.0,1.523561954498291,1184.0
7,160.0,200.0,1.1699249744415283,901.0
8,80.0,500.0,2.857980966567993,1000.0
9,80.0,400.0,2.5849626064300537,1200.0
10,40.0,200.0,2.5849626064300537,1101.0
11,160.0,400.0,1.8073549270629883,948.0
12,160.0,500.0,2.044394016265869,1223.0
13,20.0,400.0,4.392317295074463,1284.0
14,40.0,400.0,3.4594316482543945,1189.0
15,20.0,500.0,4.700439929962158,1349.0
16,40.0,500.0,3.754887580871582,1234.0
